	input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism	ARO	CONFERS RESISTANCE TO IMMEDIATE DRUG CLASS	OVERALL CATEGORY OF DRUG CLASS
0	GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	crpP_1	crpP	resfinder	2021-Mar-27	HM560971	abricate	abricate 1.0.1	94.44			13	210					+		100.0						Ciprofloxacin			ARO:3002702	[('ARO:3000385', 'chloramphenicol')]	['phenicol antibiotic']
1	GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	crpP_1	crpP	resfinder	2021-Mar-27	HM560971	abricate	abricate 1.0.1	98.99			49	246					+		100.0						Ciprofloxacin			ARO:3002702	[('ARO:3000385', 'chloramphenicol')]	['phenicol antibiotic']
2	GMGC10.016_690_720.UNKNOWN	GMGC10.95nr_block_0002	dfrB3_1	dfrB3	resfinder	2021-Mar-27	X72585	abricate	abricate 1.0.1	100.0			1	237					+		100.0						Trimethoprim			ARO:3003022	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
3	GMGC10.026_804_036.UNKNOWN	GMGC10.95nr_block_0002	dfrB5_1	dfrB5	resfinder	2021-Mar-27	AY943084	abricate	abricate 1.0.1	100.0			1	237					+		100.0						Trimethoprim			ARO:3004549	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
4	GMGC10.044_316_970.UNKNOWN	GMGC10.95nr_block_0002	dfrB3_1	dfrB3	resfinder	2021-Mar-27	X72585	abricate	abricate 1.0.1	85.78			15	232					+		91.98						Trimethoprim			ARO:3003022	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
5	GMGC10.046_578_884.UNKNOWN	GMGC10.95nr_block_0002	dfrB4_1	dfrB4	resfinder	2021-Mar-27	AJ429132	abricate	abricate 1.0.1	100.0			1	237					+		100.0						Trimethoprim			ARO:3004498	[('ARO:3000188', 'trimethoprim')]	['diaminopyrimidine antibiotic']
6	GMGC10.038_883_974.AACA7	GMGC10.95nr_block_0006	aac(6')-29a_1	aac(6')-29a	resfinder	2021-Mar-27	AF263519	abricate	abricate 1.0.1	100.0			1	381					+		96.21						Amikacin;Tobramycin			ARO:nan	[]	[]
7	GMGC10.002_430_984.FOSB	GMGC10.95nr_block_0007	fosB1_1	fosB1	resfinder	2021-Mar-27	CP001903	abricate	abricate 1.0.1	99.28			1	417					+		100.0						Fosfomycin			ARO:3000172	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
8	GMGC10.002_455_792.FOSB	GMGC10.95nr_block_0007	fos_1	fos	resfinder	2021-Mar-27	ACCV01000052	abricate	abricate 1.0.1	87.22			1	399					+		100.0						Fosfomycin			ARO:3002874	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
9	GMGC10.003_097_321.FOSB	GMGC10.95nr_block_0007	fos_1	fos	resfinder	2021-Mar-27	ACCV01000052	abricate	abricate 1.0.1	93.73			1	399					+		100.0						Fosfomycin			ARO:3002874	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
10	GMGC10.005_185_692.FOSX	GMGC10.95nr_block_0007	fosE_1	fosE	resfinder	2021-Mar-27	AB901041	abricate	abricate 1.0.1	100.0			1	405					+		100.0						Fosfomycin			ARO:3000198	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
11	GMGC10.007_884_757.FOSB	GMGC10.95nr_block_0007	fosB1_1	fosB1	resfinder	2021-Mar-27	CP001903	abricate	abricate 1.0.1	81.62			13	420					+		97.84						Fosfomycin			ARO:3000172	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
12	GMGC10.008_803_393.FOSB	GMGC10.95nr_block_0007	fosA7_1	fosA7	resfinder	2021-Mar-27	LAPJ01000014	abricate	abricate 1.0.1	93.85			1	423					+		100.0						Fosfomycin			ARO:3004113	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
13	GMGC10.008_882_788.FOSB	GMGC10.95nr_block_0007	fosA7_1	fosA7	resfinder	2021-Mar-27	LAPJ01000014	abricate	abricate 1.0.1	99.76			1	423					+		100.0						Fosfomycin			ARO:3004113	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
14	GMGC10.009_451_694.FOSB	GMGC10.95nr_block_0007	fosX_2	fosX	resfinder	2021-Mar-27	AL591981	abricate	abricate 1.0.1	87.81			1	402					+		100.0						Fosfomycin			ARO:3000198	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
15	GMGC10.009_552_105.FOSB	GMGC10.95nr_block_0007	fosA2_1	fosA2	resfinder	2021-Mar-27	EU487198	abricate	abricate 1.0.1	86.03			2	408					+		95.31						Fosfomycin			ARO:3002804	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
16	GMGC10.010_904_087.FOSB	GMGC10.95nr_block_0007	fos_1	fos	resfinder	2021-Mar-27	ACCV01000052	abricate	abricate 1.0.1	83.96			1	399					+		100.0						Fosfomycin			ARO:3002874	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
17	GMGC10.011_213_333.FOSB	GMGC10.95nr_block_0007	fos_1	fos	resfinder	2021-Mar-27	ACCV01000052	abricate	abricate 1.0.1	83.71			1	399					+		100.0						Fosfomycin			ARO:3002874	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
18	GMGC10.012_391_566.FOSB	GMGC10.95nr_block_0007	fos_2	fos	resfinder	2021-Mar-27	FN543093	abricate	abricate 1.0.1	87.44			1	406					+		99.51						Fosfomycin			ARO:3003210	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
19	GMGC10.015_107_117.FOSB	GMGC10.95nr_block_0007	fosB1_1	fosB1	resfinder	2021-Mar-27	CP001903	abricate	abricate 1.0.1	80.77			1	416					+		99.76						Fosfomycin			ARO:3000172	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
20	GMGC10.015_230_420.FOSB	GMGC10.95nr_block_0007	fosX_2	fosX	resfinder	2021-Mar-27	AL591981	abricate	abricate 1.0.1	89.3			1	402					+		100.0						Fosfomycin			ARO:3000198	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
21	GMGC10.015_937_485.FOSB	GMGC10.95nr_block_0007	fosA7_1	fosA7	resfinder	2021-Mar-27	LAPJ01000014	abricate	abricate 1.0.1	90.78			1	423					+		100.0						Fosfomycin			ARO:3004113	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
22	GMGC10.016_397_246.FOSB	GMGC10.95nr_block_0007	fosB1_1	fosB1	resfinder	2021-Mar-27	CP001903	abricate	abricate 1.0.1	88.22			1	416					+		99.76						Fosfomycin			ARO:3000172	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
23	GMGC10.016_806_844.FOSB	GMGC10.95nr_block_0007	fos_1	fos	resfinder	2021-Mar-27	ACCV01000052	abricate	abricate 1.0.1	80.2			1	399					+		100.0						Fosfomycin			ARO:3002874	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
24	GMGC10.017_524_248.FOSB	GMGC10.95nr_block_0007	fosB1_1	fosB1	resfinder	2021-Mar-27	CP001903	abricate	abricate 1.0.1	84.94			2	406					+		97.12						Fosfomycin			ARO:3000172	[('ARO:0000025', 'fosfomycin')]	['phosphonic acid antibiotic']
