input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
SRR2938061_7		gi|852275723|ref|WP_048329135.1|	gi|852275723|ref|WP_048329135.1|	SARG		gi|852275723|ref|WP_048329135.1|	ARGs-OAP		70.21			1	141			935	981									multidrug		
SRR2938061_8		ZP_01813310	ZP_01813310	SARG		ZP_01813310	ARGs-OAP		62.16			23	133			32	68									tetracycline		
SRR2938061_9		gi|693000985|ref|WP_032187271.1|	gi|693000985|ref|WP_032187271.1|	SARG		gi|693000985|ref|WP_032187271.1|	ARGs-OAP		95.83			72	1			536	559									macrolide-lincosamide-streptogramin		
SRR2938061_11		YP_992987	YP_992987	SARG		YP_992987	ARGs-OAP		68.57			38	142			883	917									multidrug		
SRR2938061_13		gi|558560157|ref|WP_023491039.1|	gi|558560157|ref|WP_023491039.1|	SARG		gi|558560157|ref|WP_023491039.1|	ARGs-OAP		72.34			2	142			164	210									multidrug		
SRR2938061_15		gi|488064964|ref|WP_002136361.1|	gi|488064964|ref|WP_002136361.1|	SARG		gi|488064964|ref|WP_002136361.1|	ARGs-OAP		60.87			138	1			141	186									beta-lactam		
SRR2938061_17		gi|895967513|ref|WP_049046752.1|	gi|895967513|ref|WP_049046752.1|	SARG		gi|895967513|ref|WP_049046752.1|	ARGs-OAP		64.29			138	13			43	84									macrolide-lincosamide-streptogramin		
SRR2938061_18		gi|664042835|ref|WP_030582300.1|	gi|664042835|ref|WP_030582300.1|	SARG		gi|664042835|ref|WP_030582300.1|	ARGs-OAP		67.39			142	5			522	567									multidrug		
SRR2938061_19		gi|723045187|ref|WP_033545482.1|	gi|723045187|ref|WP_033545482.1|	SARG		gi|723045187|ref|WP_033545482.1|	ARGs-OAP		80.85			141	1			891	937									multidrug		
SRR2938061_21		gi|693106883|ref|WP_032260279.1|	gi|693106883|ref|WP_032260279.1|	SARG		gi|693106883|ref|WP_032260279.1|	ARGs-OAP		60.87			5	142			141	186									macrolide-lincosamide-streptogramin		
SRR2938061_23		gi|779850732|ref|WP_045348329.1|	gi|779850732|ref|WP_045348329.1|	SARG		gi|779850732|ref|WP_045348329.1|	ARGs-OAP		64.44			6	140			132	176									macrolide-lincosamide-streptogramin		
SRR2938061_24		gi|857586087|emb|CRL63209.1|	gi|857586087|emb|CRL63209.1|	SARG		gi|857586087|emb|CRL63209.1|	ARGs-OAP		72.34			142	2			445	491									multidrug		
SRR2938061_31		gi|40713145|emb|CAE53345.1|	gi|40713145|emb|CAE53345.1|	SARG		gi|40713145|emb|CAE53345.1|	ARGs-OAP		87.18			25	141			1	39									vancomycin		
SRR2938061_32		AJ223970.1.gene2.p01	AJ223970.1.gene2.p01	SARG		AJ223970.1.gene2.p01	ARGs-OAP		58.33			141	1			264	311									macrolide-lincosamide-streptogramin		
SRR2938061_33		ABV82118	ABV82118	SARG		ABV82118	ARGs-OAP		60.87			142	5			39	84									tetracycline		
SRR2938061_34		gi|693106883|ref|WP_032260279.1|	gi|693106883|ref|WP_032260279.1|	SARG		gi|693106883|ref|WP_032260279.1|	ARGs-OAP		65.12			12	140			141	183									macrolide-lincosamide-streptogramin		
SRR2938061_35		gi|544012122|gb|ERK10884.1|	gi|544012122|gb|ERK10884.1|	SARG		gi|544012122|gb|ERK10884.1|	ARGs-OAP		71.11			3	137			254	298									fosmidomycin		
SRR2938061_37		gi|872585816|emb|CRR56568.1|	gi|872585816|emb|CRR56568.1|	SARG		gi|872585816|emb|CRR56568.1|	ARGs-OAP		71.05			5	118			164	201									multidrug		
SRR2938061_40		CAY51926	CAY51926	SARG		CAY51926	ARGs-OAP		65.71			106	2			1	35									multidrug		
SRR2938061_43		YP_001025938	YP_001025938	SARG		YP_001025938	ARGs-OAP		72.34			142	2			554	600									multidrug		
SRR2938061_44		AE016830.1.gene1786.p01	AE016830.1.gene1786.p01	SARG		AE016830.1.gene1786.p01	ARGs-OAP		61.70			141	1			85	131									multidrug		
SRR2938061_46		CP001918.1.gene3441.p01	CP001918.1.gene3441.p01	SARG		CP001918.1.gene3441.p01	ARGs-OAP		76.09			2	139			378	423									multidrug		
SRR2938061_47		X59968.1.gene1.p01	X59968.1.gene1.p01	SARG		X59968.1.gene1.p01	ARGs-OAP		85.29			38	139			15	48									chloramphenicol		
SRR2938061_50		AL939114.1.orf1.gene.p01	AL939114.1.orf1.gene.p01	SARG		AL939114.1.orf1.gene.p01	ARGs-OAP		81.58			23	136			64	101									rifamycin		
SRR2938061_52		gi|492246796|ref|WP_005788492.1|	gi|492246796|ref|WP_005788492.1|	SARG		gi|492246796|ref|WP_005788492.1|	ARGs-OAP		65.96			1	141			101	147									multidrug		
